group,type,company,url
qr_core,Hedge Fund - Multi Strategy,Sculptor Capital Management,https://www.sculptor.com
qr_core,Hedge Fund - Tech,Blueshift Asset Management,https://www.blueshift.am
qr_core,Hedge Fund - Tech,Edgestream,https://www.edgestreamlp.com
qr_core,Hedge Fund - Tech,Entropy Technologies,https://www.entropy-technologies.com
qr_core,Hedge Fund - Tech,GAM Systematic,https://www.gam.com/en/our-capabilities/gam-systematic
qr_core,Hedge Fund - Tech,Kepos Capital,https://www.keposcapital.com
qr_core,Hedge Fund - Tech,Laurion Capital,https://www.laurioncap.com
qr_core,Hedge Fund - Tech,Qsemble Capital Management,https://www.qsemble.com
qr_core,Hedge Fund - Tech,Quantbot Technologies,https://www.quantbot.com
qr_core,Hedge Fund - Tech,Quantedge,https://www.quantedge.com
qr_core,Hedge Fund - Tech,R. G. Niederhoffer Capital Management,https://www.niederhoffer.com
qr_core,Hedge Fund - Tech,Walleye Capital,https://www.walleyecapital.com
qr_core,Hedge Fund - Tech,WorldQuant,https://www.worldquant.com
qr_core,Prop Trading,3Red Partners,https://www.3redpartners.com
qr_core,Prop Trading,Athena Capital Research,http://www.athenacr.com
qr_core,Prop Trading,BHFT,https://bhft.com/
qr_core,Prop Trading,Bluefin Capital Management,https://www.bfcm.com
qr_core,Prop Trading,Boerboel Trading,https://www.boerboeltrading.com
qr_core,Prop Trading,Cognitive Capital,https://www.cogcap.com
qr_core,Prop Trading,Consolidated Trading,https://prod.consolidatedtrading.com
qr_core,Prop Trading,Edgehog Trading,https://www.edgehogtrading.com
qr_core,Prop Trading,Elk Capital Markets,https://elkcapitalmarkets.com
qr_core,Prop Trading,Everhaven Securities,https://everhavensecurities.com/
qr_core,Prop Trading,GTS,https://gtsx.com
qr_core,Prop Trading,Geneva Trading,https://www.genevatrading.com
qr_core,Prop Trading,HAP Capital,https://www.hap-capital.com
qr_core,Prop Trading,HC Tech LLC,http://www.hctech.com
qr_core,Prop Trading,Prime Trading,https://www.prime-trading.com
qr_core,Prop Trading,Sunrise Futures,https://www.sunrisefutures.com
qr_core,Prop Trading,TradeLink Holdings LLC,https://tradelinkllc.com
qr_core,Prop Trading,Trillium Trading,https://www.trlm.com
qr_core,Prop Trading,Volant Trading,https://volanttrading.com
qr_core,Prop Trading,WH Trading,http://whtrading.com
non_qr,Asset Management/Mutual Fund,Advisors Asset Management,https://www.aamlive.com
non_qr,Asset Management/Mutual Fund,Alger,https://www.alger.com
non_qr,Asset Management/Mutual Fund,AllianceBernstein,https://www.alliancebernstein.com
non_qr,Asset Management/Mutual Fund,Allspring Global Investments,https://www.allspringglobal.com
non_qr,Asset Management/Mutual Fund,Ameriprise Financial Services,https://www.ameriprise.com
non_qr,Asset Management/Mutual Fund,Amundi Asset Management,https://about.amundi.com
non_qr,Asset Management/Mutual Fund,Ares Management,https://www.aresmgmt.com
non_qr,Asset Management/Mutual Fund,Barings,https://www.barings.com
non_qr,Asset Management/Mutual Fund,BlackRock,https://www.blackrock.com
non_qr,Asset Management/Mutual Fund,Brandywine Global Investment Management,https://www.brandywineglobal.com
non_qr,Asset Management/Mutual Fund,Brown Brothers Harriman,https://www.bbh.com
non_qr,Asset Management/Mutual Fund,Capital Group,https://www.capitalgroup.com
non_qr,Asset Management/Mutual Fund,Causeway Capital Management,https://www.causewaycap.com
non_qr,Asset Management/Mutual Fund,Charles Schwab,https://www.schwab.com
non_qr,Asset Management/Mutual Fund,Cohen & Steers,https://www.cohenandsteers.com
non_qr,Asset Management/Mutual Fund,Columbia Threadneedle Investments,https://www.columbiathreadneedleus.com
non_qr,Asset Management/Mutual Fund,Dodge & Cox,https://www.dodgeandcox.com
non_qr,Asset Management/Mutual Fund,DoubleLine Capital,https://www.doubleline.com
non_qr,Asset Management/Mutual Fund,Dreyfus Theoharidis Value Advisors,https://www.dtvadvisors.com
non_qr,Asset Management/Mutual Fund,Epoch Investment Partners,https://www.eipny.com
non_qr,Asset Management/Mutual Fund,Federated Hermes,https://www.federatedhermes.com
non_qr,Asset Management/Mutual Fund,Fidelity,https://www.fidelity.com
non_qr,Asset Management/Mutual Fund,Franklin Templeton Investments,https://www.franklintempleton.com
non_qr,Asset Management/Mutual Fund,GAM Investments,https://www.gam.com
non_qr,Asset Management/Mutual Fund,GAMCO Investors,https://www.gabelli.com
non_qr,Asset Management/Mutual Fund,GIC,https://www.gic.com.sg
non_qr,Asset Management/Mutual Fund,Invesco,https://www.invesco.com
non_qr,Asset Management/Mutual Fund,Janus Henderson Investors,https://www.janushenderson.com
non_qr,Asset Management/Mutual Fund,Jennison Associates,https://www.jennison.com
non_qr,Asset Management/Mutual Fund,John Hancock Investment Management,https://www.jhinvestments.com
non_qr,Asset Management/Mutual Fund,Kayne Anderson Rudnick,https://www.kayne.com
non_qr,Asset Management/Mutual Fund,Lazard Asset Management,https://www.lazardassetmanagement.com
non_qr,Asset Management/Mutual Fund,Legg Mason,https://www.leggmason.com
non_qr,Asset Management/Mutual Fund,Liberty Mutual Investments,https://business.libertymutualgroup.com
non_qr,Asset Management/Mutual Fund,Lord Abbett,https://www.lordabbett.com
non_qr,Asset Management/Mutual Fund,MFS Investment Management,https://www.mfs.com
non_qr,Asset Management/Mutual Fund,MacKay Shields,https://www.mackayshields.com
non_qr,Asset Management/Mutual Fund,Megapro Corporation,https://www.megapro.com/
non_qr,Asset Management/Mutual Fund,Mirae Asset Global Investments,https://www.am.miraeasset.com
non_qr,Asset Management/Mutual Fund,Moelis Asset Management,https://www.moelis.com/asset-management/
non_qr,Asset Management/Mutual Fund,Neuberger Berman,https://www.nb.com
non_qr,Asset Management/Mutual Fund,Newfleet Asset Management,https://www.newfleet.com
non_qr,Asset Management/Mutual Fund,Northern Trust Asset Management,https://www.northerntrust.com/asset-management
non_qr,Asset Management/Mutual Fund,Nuveen,https://www.nuveen.com
non_qr,Asset Management/Mutual Fund,Osterweis Capital Management,https://www.osterweis.com
non_qr,Asset Management/Mutual Fund,PGIM,https://www.pgim.com
non_qr,Asset Management/Mutual Fund,PIMCO,https://www.pimco.com
non_qr,Asset Management/Mutual Fund,PineBridge Investments,https://www.pinebridge.com
non_qr,Asset Management/Mutual Fund,Principal Investment Management,https://www.principal.com
non_qr,Asset Management/Mutual Fund,Putnam Investments,https://www.putnam.com
non_qr,Asset Management/Mutual Fund,Russell Investments,https://www.russellinvestments.com
non_qr,Asset Management/Mutual Fund,Schroders,https://www.schroders.com
non_qr,Asset Management/Mutual Fund,State Street Global Advisors,https://www.ssga.com
non_qr,Asset Management/Mutual Fund,Sun Life Investment Management,https://www.sunlife.com/us/en/solutions/asset-management/
non_qr,Asset Management/Mutual Fund,T. Rowe Price,https://www.troweprice.com
non_qr,Asset Management/Mutual Fund,TCW Group,https://www.tcw.com
non_qr,Asset Management/Mutual Fund,Vanguard,https://www.vanguard.com
non_qr,Asset Management/Mutual Fund,Wellington Management,https://www.wellington.com
non_qr,Asset Management/Mutual Fund,Western Asset Management,https://www.westernasset.com
non_qr,Asset Management/Mutual Fund,Wilshire Advisors,https://www.wilshire.com
non_qr,Broker Dealer,AVM LP,https://www.avmlp.com/
non_qr,Broker Dealer,Cantor Fitzgerald,https://www.cantor.com/
non_qr,Broker Dealer,Federated Securities Corp.,https://federatedsecurities.com/
non_qr,Commercial Bank,BNY Mellon,https://www.bny.com/corporate/global/en.html
non_qr,Commercial Bank,Capital One,https://www.capitalone.com
non_qr,Commercial Bank,Citizens Bank,https://www.citizensbank.com
non_qr,Commercial Bank,Discover,https://www.discover.com
non_qr,Commercial Bank,Fifth Third Bank,https://www.53.com
non_qr,Commercial Bank,First Republic Bank,https://www.firstrepublic.com
non_qr,Commercial Bank,Heartland Financial,https://www.htlf.com
non_qr,Commercial Bank,KeyBank,https://www.key.com
non_qr,Commercial Bank,Lloyds Bank,https://www.lloydsbank.com
non_qr,Commercial Bank,NatWest,https://www.natwest.com
non_qr,Commercial Bank,National Bank Holdings,https://www.nationalbankholdings.com
non_qr,Commercial Bank,PNC Financial Service,https://www.pnc.com
non_qr,Commercial Bank,Standard Chartered Bank,https://www.sc.com/en/
non_qr,Commercial Bank,Truist,https://www.truist.com
non_qr,Commercial Bank,U.S. Bank,https://www.usbank.com
